company_name,company_number,registered_locality,date_of_creation,primary_sic_category,sic_categories,core_score,cross_ref_promote,alignment_score,combined_score,stage_estimate,stage_confidence,why_selected,risk_flags
YELLOWSTONE BIOSCIENCES LIMITED,14606478,OXFORD,2023-01-20,Biotech,{Biotech},69,f,42,111,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (4)"", ""multiple PSCs"", ""non-trivial ownership structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
ADVANCED AI DIAGNOSTICS LTD,16169377,OXFORD,2025-01-07,Deep R&D,"{""Deep R&D"",MedTech}",71,f,39,110,seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
APHERION THERAPEUTICS LIMITED,16879736,CAMBRIDGE,2025-11-28,Biotech,{Biotech},67,f,42,109,seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (4)"", ""multiple PSCs"", ""non-trivial ownership structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
ALEVIN THERAPEUTICS LIMITED,13971892,CAMBRIDGE,2022-03-11,Deep R&D,"{""Deep R&D""}",67,f,42,109,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (4)"", ""multiple PSCs"", ""non-trivial ownership structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
ALETHIO THERAPEUTICS LIMITED,13509030,ABINGDON,2021-07-12,Biotech,{Biotech},67,f,42,109,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (3)"", ""multiple PSCs"", ""non-trivial ownership structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
RE-AIM THERAPEUTICS LTD,15689618,OXFORD,2024-04-28,Biotech,{Biotech},70,f,39,109,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
AVATA BIOSCIENCES HOLDINGS LTD,14024267,LONDON,2022-04-03,Deep R&D,"{""Deep R&D""}",66,f,42,108,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (3)"", ""multiple PSCs"", ""non-trivial ownership structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
ICOSPHERE BIOSCIENCES LTD,15659504,OXFORD,2024-04-17,Biotech,{Biotech},69,f,39,108,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
ĒVOLVERE BIOSCIENCES LTD,13396961,LONDON,2021-05-13,Biotech,{Biotech},66,f,42,108,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (3)"", ""multiple PSCs"", ""non-trivial ownership structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
BEYOND BLOOD DIAGNOSTICS LTD,13826151,LONDON,2022-01-04,Biotech,"{Biotech,""Deep R&D""}",65,f,42,107,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (3)"", ""multiple PSCs"", ""non-trivial ownership structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
ADDRESS ROBOTICS LIMITED,15067167,LONDON,2023-08-12,Deep R&D,"{""Deep R&D""}",65,f,42,107,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (5)"", ""multiple PSCs"", ""non-trivial ownership structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
CCI PHOTONICS LIMITED,14933095,WARRINGTON,2023-06-12,Biotech,"{Biotech,MedTech}",65,f,42,107,seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (4)"", ""multiple PSCs"", ""non-trivial ownership structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
MACHNET MEDICAL ROBOTICS (UK) LIMITED,15135533,LONDON,2023-09-12,Biotech,"{Biotech,MedTech}",68,f,39,107,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
TRIMTECH THERAPEUTICS LIMITED,15299951,CAMBRIDGE,2023-11-21,Biotech,{Biotech},67,f,39,106,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
SOJOURN THERAPEUTICS LIMITED,16591284,LONDON,2025-07-17,Biotech,{Biotech},64,f,42,106,seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (3)"", ""multiple PSCs"", ""non-trivial ownership structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
OPTIGENOMICS LIMITED,16072990,LONDON,2024-11-11,Biotech,{Biotech},64,f,42,106,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (3)"", ""multiple PSCs"", ""non-trivial ownership structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
ENEDRA THERAPEUTICS LIMITED,13433538,CAMBRIDGE,2021-06-01,Deep R&D,"{""Deep R&D""}",67,f,39,106,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
INGENOX THERAPEUTICS LIMITED,14127227,OXFORD,2022-05-23,Biotech,{Biotech},67,f,39,106,seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
GXS THERAPEUTICS LIMITED,16058510,CAMBRIDGE,2024-11-04,Biotech,{Biotech},67,f,38,105,seed,medium,"[""at least one director"", ""multiple directors"", ""PSCs present (3)"", ""multiple PSCs"", ""non-trivial ownership structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
COMBINATE THERAPEUTICS LTD,16416662,CAMBRIDGE,2025-04-28,Biotech,{Biotech},67,f,37,104,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (3)"", ""multiple PSCs"", ""non-trivial ownership structure"", ""more than incorporation"", ""non-trivial filing activity""]",[]
RATHLIN THERAPEUTICS LIMITED,14373522,LONDON,2022-09-22,Biotech,{Biotech},64,f,39,103,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
WILD BIOSCIENCE LTD,13355116,ABINGDON,2021-04-22,Biotech,{Biotech},61,f,42,103,seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (7)"", ""multiple PSCs"", ""non-trivial ownership structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
SCARLET THERAPEUTICS LIMITED,13536278,BRISTOL,2021-07-27,Biotech,{Biotech},61,t,42,103,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (3)"", ""multiple PSCs"", ""non-trivial ownership structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
TRANSDERMAL DIAGNOSTICS LTD,13566819,BRISTOL,2021-08-15,Biotech,{Biotech},61,f,42,103,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (3)"", ""multiple PSCs"", ""non-trivial ownership structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
KODIFORM THERAPEUTICS LIMITED,15390647,LONDON,2024-01-05,Biotech,{Biotech},64,f,39,103,seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
SERENZA THERAPEUTICS LTD,16904856,LONDON,2025-12-11,Biotech,{Biotech},64,f,39,103,seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
INDEGRA THERAPEUTICS LIMITED,14395038,CAMBRIDGE,2022-10-02,Deep R&D,"{""Deep R&D""}",67,f,35,102,seed,medium,"[""at least one director"", ""multiple directors"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
ALCEUS BIOSCIENCES LTD,16021269,LONDON,2024-10-15,Biotech,{Biotech},60,f,42,102,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (3)"", ""multiple PSCs"", ""non-trivial ownership structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
EXIGENT THERAPEUTICS LIMITED,15365056,CAMBRIDGE,2023-12-20,Biotech,{Biotech},67,f,35,102,post-seed,medium,"[""at least one director"", ""multiple directors"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
U-PLOID BIOTECHNOLOGIES LTD,15432020,OXFORD,2024-01-22,Biotech,{Biotech},62,f,39,101,seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
T-THERAPEUTICS LIMITED,14097070,GREAT ABINGTON,2022-05-09,Biotech,"{Biotech,""Deep R&D""}",68,f,33,101,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
SMITH ROBOTICS LTD,14423343,ABINGDON,2022-10-16,Hardware,{Hardware},66,f,35,101,seed,medium,"[""at least one director"", ""multiple directors"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
GRAPHENERGYTECH LTD,14406810,DUXFORD,2022-10-09,Deep R&D,"{""Deep R&D""}",59,f,42,101,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (3)"", ""multiple PSCs"", ""non-trivial ownership structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
SINGULAR PHOTONICS LIMITED,SC797518,EDINBURGH,2024-02-02,Hardware,{Hardware},62,f,39,101,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
EYEBIOTECH LIMITED,13503296,LONDON,2021-07-08,Biotech,{Biotech},58,f,42,100,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (3)"", ""multiple PSCs"", ""non-trivial ownership structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
SCRIPTA THERAPEUTICS LIMITED,15999109,OXFORD,2024-10-03,Biotech,{Biotech},67,f,33,100,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
CELLESTIAL HEALTH LTD,14811694,CAMBRIDGE,2023-04-17,Biotech,"{Biotech,""Deep R&D""}",58,f,42,100,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (3)"", ""multiple PSCs"", ""non-trivial ownership structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
CAMGENE THERAPEUTICS LIMITED,14921810,CAMBRIDGE,2023-06-06,Biotech,{Biotech},67,f,33,100,seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
MOMENTOUS THERAPEUTICS LTD,14150840,CAMBRIDGE,2022-06-05,Biotech,{Biotech},67,f,33,100,seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
APOLLO THERAPEUTICS LIMITED,13396815,CAMBRIDGE,2021-05-13,Biotech,{Biotech},67,f,33,100,seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
RAER THERAPEUTICS LTD,SC828508,GLASGOW,2024-11-11,Biotech,{Biotech},58,f,42,100,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (4)"", ""multiple PSCs"", ""non-trivial ownership structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
CRUCIBLE THERAPEUTICS LIMITED,14690230,SHEFFIELD,2023-02-27,Biotech,{Biotech},58,f,42,100,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (3)"", ""multiple PSCs"", ""non-trivial ownership structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
NEUROTHREAD DIAGNOSTICS LTD,15623315,LONDON,2024-04-05,Deep R&D,"{""Deep R&D""}",64,f,35,99,seed,medium,"[""at least one director"", ""multiple directors"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
LIGHTNING TREE ADVANCED MATERIALS LTD,16176492,CAMBRIDGE,2025-01-10,Deep R&D,"{""Deep R&D""}",60,f,39,99,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
GASTROBODY THERAPEUTICS LIMITED,16196935,CAMBRIDGE,2025-01-21,Biotech,{Biotech},67,t,32,99,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (3)"", ""multiple PSCs"", ""non-trivial ownership structure"", ""more than incorporation""]",[]
CERULEAN THERAPEUTICS LIMITED,16909806,CAMBRIDGE,2025-12-15,Biotech,{Biotech},67,f,32,99,seed,medium,"[""at least one director"", ""PSCs present (3)"", ""multiple PSCs"", ""non-trivial ownership structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]"
PANACEA DIAGNOSTICS LTD,14854722,LONDON,2023-05-07,Biotech,"{Biotech,""Deep R&D""}",66,f,33,99,seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
RNAVATE LIMITED,14773506,CAMBRIDGE,2023-03-30,Biotech,{Biotech},57,f,42,99,seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (3)"", ""multiple PSCs"", ""non-trivial ownership structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
QUANTUM FABRIX LIMITED,15695903,KIDLINGTON,2024-04-29,Deep R&D,"{""Deep R&D"",Hardware}",60,f,39,99,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
TOLLCYTO THERAPEUTICS LTD,16425530,LONDON,2025-05-01,Biotech,{Biotech},64,f,34,98,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity""]",[]
ATHERNAL BIO LIMITED,15730565,LONDON,2024-05-19,Biotech,{Biotech},56,f,42,98,seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (5)"", ""multiple PSCs"", ""non-trivial ownership structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
CLARITY SENSORS LIMITED,14120836,CAMBRIDGE,2022-05-19,Deep R&D,"{""Deep R&D""}",59,f,39,98,seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
FLIP THERAPEUTICS LTD,15995674,LONDON,2024-10-02,Biotech,{Biotech},58,f,39,97,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
NUCLIDE THERAPEUTICS LTD,15734758,LONDON,2024-05-21,Biotech,{Biotech},58,f,39,97,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
QUANTUM ENERGY SUSTAINABLE GOALS LIMITED,15006956,LONDON,2023-07-16,AI & Software,"{""AI & Software"",""Deep R&D""}",55,f,42,97,seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (3)"", ""multiple PSCs"", ""non-trivial ownership structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
Z7 BIOTECH LTD,13423215,NOTTINGHAM,2021-05-25,Biotech,{Biotech},55,f,42,97,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (3)"", ""multiple PSCs"", ""non-trivial ownership structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
VIMELA THERAPEUTICS LIMITED,13611487,CAMBRIDGE,2021-09-08,Biotech,{Biotech},67,f,29,96,seed,medium,"[""at least one director"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]"
CAERULEUS GENOMICS LTD,14481675,OXFORD,2022-11-14,Biotech,{Biotech},67,f,29,96,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""no PSC data""]"
REVOLVER THERAPEUTICS LIMITED,14647177,BATH,2023-02-08,Biotech,{Biotech},61,f,35,96,seed,medium,"[""at least one director"", ""multiple directors"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
PETALION THERAPEUTICS LIMITED,15363420,CAMBRIDGE,2023-12-20,Biotech,{Biotech},67,f,29,96,seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""no PSC data""]"
SANDYMOUNT THERAPEUTICS LTD,13514842,OXFORD,2021-07-15,Biotech,{Biotech},67,f,29,96,seed,medium,"[""at least one director"", ""multiple directors"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
GLYMAB THERAPEUTICS LIMITED,16538942,OXFORD,2025-06-23,Biotech,{Biotech},67,f,28,95,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity""]",[]
DANU THERAPEUTICS LIMITED,16734614,CAMBRIDGE,2025-09-21,Biotech,{Biotech},67,f,28,95,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity""]",[]
HELENE THERAPEUTICS LIMITED,15462784,LONDON,2024-02-02,Biotech,"{Biotech,HealthTech}",66,f,29,95,seed,medium,"[""at least one director"", ""multiple directors"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
RESONANCE BIOTECH LTD,14211225,CARDIFF,2022-07-03,Deep R&D,"{""Deep R&D""}",63,f,32,95,seed,medium,"[""at least one director"", ""PSCs present (4)"", ""multiple PSCs"", ""non-trivial ownership structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]"
PLASMA2X LIMITED,15247112,DARESBURY,2023-10-30,Deep R&D,"{""Deep R&D""}",53,f,42,95,seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (3)"", ""multiple PSCs"", ""non-trivial ownership structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
SUB-NAUTICAL LEGION ROBOTICS LIMITED,17084989,Cambridge,2026-03-11,Deep R&D,"{""Deep R&D""}",67,f,27,94,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (3)"", ""multiple PSCs"", ""non-trivial ownership structure""]","[""only incorporation filing""]"
DEAKIN BIO-HYBRID MATERIALS LTD,13439437,MANCHESTER,2021-06-03,Biotech,{Biotech},55,f,39,94,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
VECTOR BIOSCIENCE CAMBRIDGE LTD,13564111,LONDON,2021-08-12,Biotech,{Biotech},52,f,42,94,seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (3)"", ""multiple PSCs"", ""non-trivial ownership structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
A&B SMART MATERIALS LIMITED,14535695,KIDLINGTON,2022-12-12,Deep R&D,"{""Deep R&D""}",59,f,35,94,post-seed,medium,"[""at least one director"", ""multiple directors"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
CELL CULTURE AUTOMATION LTD,15268885,CAMBRIDGE,2023-11-08,Biotech,{Biotech},55,f,38,93,seed,medium,"[""at least one director"", ""multiple directors"", ""PSCs present (3)"", ""multiple PSCs"", ""non-trivial ownership structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
AGNOS BIOSCIENCES LIMITED,16925156,LONDON,2025-12-22,Biotech,"{""AI & Software"",Biotech}",66,f,27,93,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (4)"", ""multiple PSCs"", ""non-trivial ownership structure""]","[""only incorporation filing""]"
JUVENESCENCE THERAPEUTICS (UK) LIMITED,15756783,LONDON,2024-06-02,Biotech,{Biotech},64,f,29,93,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""no PSC data""]"
OXFORD BATTERY DEVELOPMENTS LIMITED,16142658,CULHAM,2024-12-18,CleanTech,"{CleanTech,""Deep R&D""}",55,f,38,93,seed,medium,"[""at least one director"", ""multiple directors"", ""PSCs present (3)"", ""multiple PSCs"", ""non-trivial ownership structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
MOONLAKE IMMUNOTHERAPEUTICS LTD,13502700,LONDON,2021-07-08,Biotech,{Biotech},64,f,29,93,post-seed,medium,"[""at least one director"", ""multiple directors"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
EXERT THERAPEUTICS LIMITED,14924663,LONDON,2023-06-07,Biotech,{Biotech},64,f,29,93,seed,medium,"[""at least one director"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]"
1LIFE BIOSCIENCE LTD,15380756,LONDON,2024-01-02,Deep R&D,"{Biotech,""Deep R&D"",HealthTech}",60,f,33,93,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
PHOTONIC TECHNOLOGIES UK LIMITED,14541308,WITNEY,2022-12-14,Hardware,{Hardware},63,f,29,92,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""no PSC data""]"
ZAYTUNA ROBOTICS LTD,15677960,CAMBRIDGE,2024-04-23,Deep R&D,"{""AI & Software"",""Deep R&D"",Robotics}",69,f,23,92,seed,medium,"[""at least one director"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]"
LUMAI LIMITED,13772989,OXFORD,2021-11-30,Deep R&D,"{""Deep R&D"",Hardware}",50,t,42,92,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (3)"", ""multiple PSCs"", ""non-trivial ownership structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
FIG THERAPEUTICS LIMITED,15653158,CAMBRIDGE,2024-04-15,Biotech,{Biotech},67,f,25,92,seed,medium,"[""at least one director"", ""multiple directors"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""no PSC data""]"
SYMPHORNA LIMITED,16544054,CAMBRIDGE,2025-06-25,Biotech,{Biotech},57,f,35,92,seed,medium,"[""at least one director"", ""multiple directors"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
BIOTRYP THERAPEUTICS LTD,14622528,CAMBRIDGE,2023-01-27,Biotech,{Biotech},69,f,23,92,seed,medium,"[""at least one director"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]"
EMBED BIOTECH LIMITED,15472206,LONDON,2024-02-07,Biotech,"{Biotech,MedTech}",59,f,33,92,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
ABB ROBOTICS UK LIMITED,16602285,WARRINGTON,2025-07-22,Hardware,"{""Deep R&D"",Hardware}",59,f,33,92,seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
BIO IMMUNITAS BIOTECH LTD,13339121,LONDON,2021-04-14,Biotech,{Biotech},58,f,33,91,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
OXFORD SEMICONDUCTORS LIMITED,16151004,OXFORD,2024-12-24,AI & Software,"{""AI & Software"",""Deep R&D""}",52,f,39,91,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
GITLIFE BIOTECH LTD,14690170,NEWCASTLE UPON TYNE,2023-02-27,Biotech,{Biotech},52,f,39,91,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
