company_number,core_score,sic_score,keyword_score,cluster_score,recency_score,confidence_band,promotion_reason,promoted_to_enrichment,screened_at,cross_ref_promote,primary_sic_category,sic_categories,keyword_categories,sector_categories
16194552,46,14,12,20,0,medium,,t,2026-03-31 15:29:59.789549,f,Advanced Materials,"{""Advanced Materials""}",{},"{""Advanced Materials""}"
15164560,29,0,12,17,0,low,,t,2026-03-31 15:23:25.121775,f,,{},{},{}
16618098,29,0,12,17,0,low,,t,2026-03-31 15:36:01.094362,f,,{},{},{}
14457675,36,24,12,0,0,low,,t,2026-03-31 15:21:03.544516,f,Hardware,{Hardware},{},{Hardware}
16742166,50,26,4,20,0,medium,,t,2026-03-31 15:37:59.291895,f,Space & Aero,"{""Space & Aero""}",{},"{""Space & Aero""}"
15817409,40,20,6,14,0,medium,,t,2026-03-31 15:26:38.064841,f,Hardware,{Hardware},{},{Hardware}
14271436,46,26,0,20,0,medium,,t,2026-03-31 15:20:37.614144,f,Deep R&D,"{""AI & Software"",""Deep R&D""}",{},"{""AI & Software"",""Deep R&D""}"
16599531,48,26,2,20,0,medium,,t,2026-03-31 15:35:46.01004,f,Biotech,"{Biotech,HealthTech}",{},"{Biotech,HealthTech}"
16462850,62,23,22,17,0,high,,t,2026-03-31 15:33:41.867785,f,MedTech,{MedTech},{Robotics},"{MedTech,Robotics}"
15561886,58,25,22,11,0,medium,,t,2026-03-31 15:25:06.629439,f,Deep R&D,"{""AI & Software"",""Deep R&D""}",{Robotics},"{""AI & Software"",""Deep R&D"",Robotics}"
15844936,45,25,0,20,0,medium,,t,2026-03-31 15:26:48.202676,f,Biotech,{Biotech},{},{Biotech}
16398125,58,25,16,17,0,medium,,t,2026-03-31 15:32:37.306184,f,Biotech,{Biotech},{Biotech},{Biotech}
15800329,29,0,12,17,0,low,,t,2026-03-31 15:26:31.111306,f,,{},{},{}
15363845,37,25,12,0,0,low,,t,2026-03-31 15:24:11.624727,f,Biotech,{Biotech},{},{Biotech}
16993165,42,25,0,17,0,medium,,t,2026-03-31 15:43:13.972053,f,Deep R&D,"{""AI & Software"",""Data & Cloud"",""Deep R&D""}",{},"{""AI & Software"",""Data & Cloud"",""Deep R&D""}"
14758714,34,0,14,20,0,low,,t,2026-03-31 15:21:54.985811,f,,{},{},{}
13813872,42,25,0,17,0,medium,,t,2026-03-31 15:19:43.517884,f,Deep R&D,"{""Deep R&D""}",{},"{""Deep R&D""}"
SC707502,31,25,6,0,0,low,,t,2026-03-31 15:45:55.306142,f,Deep R&D,"{""AI & Software"",""Data & Cloud"",""Deep R&D""}",{},"{""AI & Software"",""Data & Cloud"",""Deep R&D""}"
14166869,45,8,23,14,0,medium,,t,2026-03-31 15:20:24.302218,f,HealthTech,{HealthTech},{Biotech},"{Biotech,HealthTech}"
14907791,31,2,12,17,0,low,,t,2026-03-31 15:22:24.335209,f,AI & Software,"{""AI & Software""}",{},"{""AI & Software""}"
15955784,33,11,22,0,0,low,,t,2026-03-31 15:27:36.303552,f,HealthTech,{HealthTech},{Biotech},"{Biotech,HealthTech}"
15731297,34,10,24,0,0,low,,t,2026-03-31 15:26:01.48969,f,HealthTech,{HealthTech},{Biotech},"{Biotech,HealthTech}"
15855675,57,18,22,17,0,medium,,t,2026-03-31 15:26:54.216871,f,Robotics,{Robotics},{Robotics},{Robotics}
15757638,25,13,12,0,0,low,,t,2026-03-31 15:26:11.492716,f,CleanTech,{CleanTech},{},{CleanTech}
14606478,69,25,24,20,0,high,,t,2026-03-31 15:21:27.280236,f,Biotech,{Biotech},{Biotech},{Biotech}
16037397,38,10,14,14,0,low,,t,2026-03-31 15:28:24.43482,f,CleanTech,{CleanTech},{CleanTech},{CleanTech}
16106109,31,0,14,17,0,low,,t,2026-03-31 15:28:59.555998,f,,{},{},{}
16641900,29,0,12,17,0,low,,t,2026-03-31 15:36:25.211501,f,,{},{},{}
14389289,48,28,0,20,0,medium,,t,2026-03-31 15:20:53.684108,f,Deep R&D,"{CleanTech,""Deep R&D""}",{},"{CleanTech,""Deep R&D""}"
15753981,31,2,12,17,0,low,,t,2026-03-31 15:26:11.113114,f,AI & Software,"{""AI & Software""}",{},"{""AI & Software""}"
15291073,29,0,12,17,0,low,,t,2026-03-31 15:23:55.106523,f,,{},{},{}
15608742,29,0,12,17,0,low,,t,2026-03-31 15:25:21.103821,f,,{},{},{}
15336066,42,25,0,17,0,medium,,t,2026-03-31 15:24:05.737707,f,Biotech,{Biotech},{},{Biotech}
15743581,29,0,12,17,0,low,,t,2026-03-31 15:26:07.620521,f,,{},{},{}
16351541,27,0,10,17,0,low,,t,2026-03-31 15:31:57.348883,f,,{},{},{}
SC805299,42,25,0,17,0,medium,,t,2026-03-31 15:46:56.69813,f,Biotech,{Biotech},{},{Biotech}
